Date,Open,High,Low,Close,Volume
01/01/1950,16.65999985,17.09000015,16.65999985,17.04999924,38770000
01/02/1950,17.04999924,17.31999969,16.98999977,17.21999931,30200000
01/03/1950,17.23999977,17.55999947,17.06999969,17.29000092,37450000
01/04/1950,17.53000069,18.04999924,17.53000069,17.95999908,42630000
01/05/1950,18.21999931,18.78000069,18.11000061,18.78000069,42230000
01/06/1950,18.77000046,19.39999962,17.44000053,17.69000053,45660000
01/07/1950,17.63999939,17.90999985,16.68000031,17.84000015,44570000
01/08/1950,18.02000046,18.81999969,17.95000076,18.42000008,38900000
01/09/1950,18.54999924,19.45000076,18.54000092,19.45000076,38590000
01/10/1950,19.69000053,20.12000084,19.53000069,19.53000069,45190000
01/11/1950,19.55999947,20.31999969,19.36000061,19.51000023,40840000
01/12/1950,19.65999985,20.43000031,19,20.43000031,55270000
01/01/1951,20.77000046,21.73999977,20.69000053,21.65999985,65420000
01/02/1951,21.77000046,22.20000076,21.76000023,21.79999924,37260000
01/03/1951,21.85000038,21.95000076,21.25,21.47999954,32430000
01/04/1951,21.31999969,22.43000031,21.26000023,22.43000031,31750000
01/05/1951,22.53000069,22.80999947,21.03000069,21.52000046,36170000
01/06/1951,21.47999954,22.04999924,20.95999908,20.95999908,36220000
01/07/1951,21.10000038,22.62999916,21.10000038,22.39999962,27990000
01/08/1951,22.51000023,23.28000069,22.51000023,23.28000069,33630000
01/09/1951,23.28000069,23.70999908,23.26000023,23.26000023,36420000
01/10/1951,23.46999931,23.85000038,22.65999985,22.94000053,39250000
01/11/1951,23.10000038,23.10000038,22.39999962,22.87999916,23580000
01/12/1951,23.01000023,23.77000046,23.01000023,23.77000046,27560000
01/01/1952,23.79999924,24.65999985,23.73999977,24.13999939,34520000
01/02/1952,24.29999924,24.29999924,23.09000015,23.26000023,25180000
01/03/1952,23.29000092,24.37000084,23.29000092,24.37000084,26580000
01/04/1952,24.18000031,24.18000031,23.31999969,23.31999969,27060000
01/05/1952,23.17000008,23.94000053,23.17000008,23.86000061,22450000
01/06/1952,23.79999924,24.95999908,23.78000069,24.95999908,25530000
01/07/1952,25.12000084,25.39999962,24.80999947,25.39999962,24100000
01/08/1952,25.45000076,25.54999924,24.82999992,25.03000069,20890000
01/09/1952,25.14999962,25.25,24.45000076,24.54000092,24100000
